iter	RMSE
0	8.832062561
1	8.659359664
2	8.469567766
3	8.302303506
4	8.137888346
5	7.979725838
6	7.820563482
7	7.668932021
8	7.526366699
9	7.37176199
10	7.256809958
11	7.123224979
12	6.986593746
13	6.849927804
14	6.730022668
15	6.595050234
16	6.491391547
17	6.383605135
18	6.270429496
19	6.153747886
20	6.029642485
21	5.937066332
22	5.837525365
23	5.735083578
24	5.637124365
25	5.54088048
26	5.453328447
27	5.376955183
28	5.298240325
29	5.215313053
30	5.136563229
31	5.062831562
32	5.001161669
33	4.936081949
34	4.870039159
35	4.805209785
36	4.745063129
37	4.681171486
38	4.61883985
39	4.549904663
40	4.503346737
41	4.436930073
42	4.390016684
43	4.337574528
44	4.283782813
45	4.240403147
46	4.19666689
47	4.14264594
48	4.109005459
49	4.070709212
50	4.027666236
51	3.986858517
52	3.93676199
53	3.900774072
54	3.857809833
55	3.81219737
56	3.773850267
57	3.736443249
58	3.699534723
59	3.667649255
60	3.635395945
61	3.603558989
62	3.576139808
63	3.543273801
64	3.505695551
65	3.479276666
66	3.444148757
67	3.421035322
68	3.394643201
69	3.367856915
70	3.339483843
71	3.312546507
72	3.288111011
73	3.259755663
74	3.241070581
75	3.217832647
76	3.194622405
77	3.165479058
78	3.13916737
79	3.116377981
80	3.08765096
81	3.069744559
82	3.05486243
83	3.035784853
84	3.012323625
85	2.994704951
86	2.968106896
87	2.951358038
88	2.9315439
89	2.915570741
90	2.899329413
91	2.881050734
92	2.864950208
93	2.840424631
94	2.823632198
95	2.811478943
96	2.798452891
97	2.782354874
98	2.769694026
99	2.756703407
100	2.735958854
101	2.715958611
102	2.701722456
103	2.689450917
104	2.673130826
105	2.660577426
106	2.64836576
107	2.640262764
108	2.628094722
109	2.614808915
110	2.602196412
111	2.592668542
112	2.578771929
113	2.567267261
114	2.554552752
115	2.541811373
116	2.527378102
117	2.516085045
118	2.502501393
119	2.494341703
120	2.484090851
121	2.471845821
122	2.465546838
123	2.457072215
124	2.447356471
125	2.436464059
126	2.422444687
127	2.412318536
128	2.403408575
129	2.392371092
130	2.382863036
131	2.375452571
132	2.36529699
133	2.357235722
134	2.347071079
135	2.337424684
136	2.324663353
137	2.31516552
138	2.30912029
139	2.303011122
140	2.296057619
141	2.289350542
142	2.281063702
143	2.273198939
144	2.264945841
145	2.256864441
146	2.250421283
147	2.243265075
148	2.236979813
149	2.227784696
150	2.221950358
151	2.215855007
152	2.207814991
153	2.198077334
154	2.190424426
155	2.183280972
156	2.177475393
157	2.170417205
158	2.162594495
159	2.151239951
160	2.142297776
161	2.13615191
162	2.129633677
163	2.122159271
164	2.117405988
165	2.111335592
166	2.102853761
167	2.095215161
168	2.089868486
169	2.083987476
170	2.07807116
171	2.072465418
172	2.067609323
173	2.058522031
174	2.051530447
175	2.046119675
176	2.041975374
177	2.03736406
178	2.031685107
179	2.025086049
180	2.01913723
181	2.010658071
182	2.005523981
183	2.000164502
184	1.994990066
185	1.990954206
186	1.984934277
187	1.979175382
188	1.970414238
189	1.964126713
190	1.958942621
191	1.956898113
192	1.951180154
193	1.944112536
194	1.938950598
195	1.932407386
196	1.928615731
197	1.920863069
198	1.917105347
199	1.910413706
200	1.906308347
201	1.899326124
202	1.895319295
203	1.889825059
204	1.887228841
205	1.881794694
206	1.876083891
207	1.871769751
208	1.866118381
209	1.860299958
210	1.856575659
211	1.850588291
212	1.843557951
213	1.837850706
214	1.835317036
215	1.827378496
216	1.823715567
217	1.819047137
218	1.813108944
219	1.809114087
220	1.804556936
221	1.797449382
222	1.792375154
223	1.787404589
224	1.781106411
225	1.777015489
226	1.770743015
227	1.764682422
228	1.76116688
229	1.756630999
230	1.752040974
231	1.746330262
232	1.743411393
233	1.740802994
234	1.734139675
235	1.730759605
236	1.726494363
237	1.721875191
238	1.716984311
239	1.712970677
240	1.709546454
241	1.706091888
242	1.703705007
243	1.699197993
244	1.697039166
245	1.690034526
246	1.685627223
247	1.679555031
248	1.676008861
249	1.671108822
250	1.668014523
251	1.663862575
252	1.661978758
253	1.657726819
254	1.653098797
255	1.647846871
256	1.644228235
257	1.640256733
258	1.634559701
259	1.63100391
260	1.62682985
261	1.623025342
262	1.620935807
263	1.616459555
264	1.612628505
265	1.609227773
266	1.607459108
267	1.600942833
268	1.598083783
269	1.594758203
270	1.589916371
271	1.584422046
272	1.579446126
273	1.574846348
274	1.568768049
275	1.565828176
276	1.563411465
277	1.562980791
278	1.562559426
279	1.561258864
280	1.556645073
281	1.556284981
282	1.553802291
283	1.551923815
284	1.5486869
285	1.545216262
286	1.542197455
287	1.536951077
288	1.534027021
289	1.531200558
290	1.528808814
291	1.525581626
292	1.521141217
293	1.518602258
294	1.51558138
295	1.513191215
296	1.512795113
297	1.511166191
298	1.507941183
299	1.50601582
300	1.50240881
301	1.499311157
302	1.496850422
303	1.493681219
304	1.489335726
305	1.48654036
306	1.485293811
307	1.483842982
308	1.479249439
309	1.478003229
310	1.473344842
311	1.468913733
312	1.465007102
313	1.461165315
314	1.455476129
315	1.4539895
316	1.452929016
317	1.451547672
318	1.446125626
319	1.441868455
320	1.437194502
321	1.436856602
322	1.431840545
323	1.428840524
324	1.427321067
325	1.424947667
326	1.421622376
327	1.418906773
328	1.414686588
329	1.411139211
330	1.407955371
331	1.404849347
332	1.403641034
333	1.399327469
334	1.397401865
335	1.394608632
336	1.393406574
337	1.390451047
338	1.386191366
339	1.381321126
340	1.378841042
341	1.374646327
342	1.371782527
343	1.369130746
344	1.365683315
345	1.362644424
346	1.36184351
347	1.358935389
348	1.358377603
349	1.355752361
350	1.351522351
351	1.348962799
352	1.345756806
353	1.342290933
354	1.337817052
355	1.335304678
356	1.331311402
357	1.330029097
358	1.326630906
359	1.32312655
360	1.320033399
361	1.317259371
362	1.313098952
363	1.310511998
364	1.307803179
365	1.304176055
366	1.301084184
367	1.297667135
368	1.294280566
369	1.289794703
370	1.2872201
371	1.286576886
372	1.282744017
373	1.282532657
374	1.278655364
375	1.275006487
376	1.271100355
377	1.268436879
378	1.265009808
379	1.262625593
380	1.258727967
381	1.254718412
382	1.253939955
383	1.251064181
384	1.248701613
385	1.246789275
386	1.244203826
387	1.243762536
388	1.241563432
389	1.238185512
390	1.234277857
391	1.230562491
392	1.226466145
393	1.224443592
394	1.223244436
395	1.219763194
396	1.217050354
397	1.215481436
398	1.212303073
399	1.209081862
400	1.205402983
401	1.20223266
402	1.198674726
403	1.195201622
404	1.192978112
405	1.189971723
406	1.186351438
407	1.183602872
408	1.182040372
409	1.181630071
410	1.178868635
411	1.176482614
412	1.174158446
413	1.171292559
414	1.168886231
415	1.166412043
416	1.164044516
417	1.161021607
418	1.15701589
419	1.154582584
420	1.150758137
421	1.148753982
422	1.146535505
423	1.143628118
424	1.141370773
425	1.138305198
426	1.135969177
427	1.13483841
428	1.131642814
429	1.129098165
430	1.127006418
431	1.124236473
432	1.121179226
433	1.118526354
434	1.115560716
435	1.112596657
436	1.110398484
437	1.107710343
438	1.10539574
439	1.10363151
440	1.100501596
441	1.098159706
442	1.095415154
443	1.093274279
444	1.090586293
445	1.088768328
446	1.086666078
447	1.084252979
448	1.080728522
449	1.078764058
450	1.075593608
451	1.072444359
452	1.07076446
453	1.068118442
454	1.066063289
455	1.064945723
456	1.061859036
457	1.06037773
458	1.058067943
459	1.055114521
460	1.053466784
461	1.052106849
462	1.049609701
463	1.04747057
464	1.044876556
465	1.04256743
466	1.041012064
467	1.038835705
468	1.037604362
469	1.034979314
470	1.033280398
471	1.031356667
472	1.030253221
473	1.028607757
474	1.027495598
475	1.0248105
476	1.022261325
477	1.019927739
478	1.017352754
479	1.015784254
480	1.014198071
481	1.011007043
482	1.008523459
483	1.006483757
484	1.004978734
485	1.003163039
486	1.001121275
487	0.9995491704
488	0.9970072312
489	0.99407345
490	0.9926909071
491	0.9914489986
492	0.9893349678
493	0.9873291423
494	0.9868199462
495	0.9853117154
496	0.9833066656
497	0.9804273759
498	0.9775472391
499	0.976180916
500	0.974143174
501	0.9736058083
502	0.9719312066
503	0.9706311868
504	0.9694786293
505	0.9669354717
506	0.9647780926
507	0.9627890032
508	0.9601624892
509	0.957792206
510	0.9558266198
511	0.9537109828
512	0.9520245908
513	0.9514392044
514	0.9505337812
515	0.9484450277
516	0.9468108893
517	0.9457295716
518	0.9437280282
519	0.9416857444
520	0.9403045536
521	0.938689115
522	0.9367839057
523	0.9345305218
524	0.9334696217
525	0.9316662094
526	0.9313183187
527	0.9296001281
528	0.9285476546
529	0.9264092789
530	0.9258023233
531	0.9247075827
532	0.9229278284
533	0.9224516758
534	0.9206248918
535	0.9187586014
536	0.917563531
537	0.9157728573
538	0.9154124243
539	0.9131854563
540	0.911235219
541	0.9100296113
542	0.9085543126
543	0.9081219944
544	0.9067153833
545	0.9050390929
546	0.9030549653
547	0.9014941108
548	0.8995904799
549	0.8991630465
550	0.8975844173
551	0.8959631076
552	0.8942669277
553	0.8926830647
554	0.8914707918
555	0.8895225727
556	0.8888543318
557	0.8872747563
558	0.8853621558
559	0.8825954856
560	0.8796393909
561	0.8779585113
562	0.8764151153
563	0.8749236983
564	0.8743652233
565	0.8733313424
566	0.8714599032
567	0.8703624559
568	0.8687120025
569	0.8671381077
570	0.8669178081
571	0.8660674231
572	0.8640617195
573	0.8622724616
574	0.8601271327
575	0.8585324258
576	0.8568820283
577	0.8557218227
578	0.8538754203
579	0.8534593982
580	0.8513609161
581	0.8503599743
582	0.8486437682
583	0.8478475736
584	0.847480933
585	0.8461185257
586	0.8441903268
587	0.842752882
588	0.8414724821
589	0.8399029051
590	0.8389223051
591	0.8379119365
592	0.8364097393
593	0.8345507003
594	0.8342055934
595	0.8327816009
596	0.8308644282
597	0.8294418167
598	0.8282888394
599	0.8263112113
600	0.8244290616
601	0.8234688722
602	0.8224681349
603	0.8216177729
604	0.8207720628
605	0.8180968856
606	0.8156109107
607	0.8135758941
608	0.8125641536
609	0.8106000403
610	0.8086403767
611	0.8072141985
612	0.8052162849
613	0.8046865973
614	0.8035455806
615	0.8020598604
616	0.8005478033
617	0.7996189025
618	0.7979801019
619	0.7962405071
620	0.79449854
621	0.7922818205
622	0.7906954379
623	0.7879493781
624	0.7860642072
625	0.7856464208
626	0.7843992124
627	0.78382803
628	0.7826965293
629	0.7812097989
630	0.7803954784
631	0.7797180301
632	0.7786345992
633	0.7781065165
634	0.7765181191
635	0.7750509224
636	0.7740038045
637	0.772321706
638	0.7716016215
639	0.7700539051
640	0.7683219314
641	0.7668453373
642	0.7665010039
643	0.7651402665
644	0.7638363494
645	0.7627556417
646	0.7616046139
647	0.7601863193
648	0.75984094
649	0.7587873321
650	0.7582493836
651	0.7565341203
652	0.7548346112
653	0.752817145
654	0.7512094609
655	0.7506690352
656	0.7496741169
657	0.7488207915
658	0.7477727013
659	0.7459549669
660	0.7446686995
661	0.7429016715
662	0.7417261983
663	0.741082972
664	0.7395818656
665	0.7379217524
666	0.7361871058
667	0.7349246381
668	0.7336970229
669	0.7327466095
670	0.7318185019
671	0.7313643795
672	0.7305071781
673	0.7297268393
674	0.7283153428
675	0.7267558532
676	0.7246445055
677	0.7239481385
678	0.7228788084
679	0.721767749
680	0.7207631988
681	0.7184871973
682	0.7176785753
683	0.7163273863
684	0.715112463
685	0.7140475733
686	0.7133764088
687	0.7129589518
688	0.7112368709
689	0.710790774
690	0.7098492844
691	0.7088716089
692	0.7082789913
693	0.7063894474
694	0.7056998437
695	0.7045240176
696	0.7035492015
697	0.7029218791
698	0.7009486383
699	0.7004066896
700	0.6996904556
701	0.6981431785
702	0.697087615
703	0.6956169433
704	0.6932803381
705	0.6915223165
706	0.6902413171
707	0.6891418317
708	0.6882711728
709	0.6872300284
710	0.6859443026
711	0.6850821497
712	0.6847952373
713	0.6838404543
714	0.6829375847
715	0.681865403
716	0.6808067824
717	0.679629678
718	0.6788415481
719	0.677660455
720	0.6768050581
721	0.6760025131
722	0.6758250451
723	0.6744513443
724	0.673007915
725	0.6721942006
726	0.6715425307
727	0.6708519495
728	0.6698538813
729	0.6692666524
730	0.6677716078
731	0.6661129928
732	0.6657876333
733	0.6651383255
734	0.6636197278
735	0.6625340659
736	0.6609789434
737	0.6598576614
738	0.6582630994
739	0.6566459104
740	0.6551870277
741	0.6543713449
742	0.6530395465
743	0.6517341054
744	0.6504246497
745	0.6491613069
746	0.64784848
747	0.6469131105
748	0.6460678429
749	0.6453508876
750	0.6442519512
751	0.642447958
752	0.6414539339
753	0.6405517969
754	0.640327984
755	0.6390253541
756	0.6382762721
757	0.6378583598
758	0.6372073422
759	0.6362533755
760	0.6357025684
761	0.6348507584
762	0.6339571311
763	0.6330162613
764	0.6323011372
765	0.6311175748
766	0.6308406007
767	0.6302654572
768	0.6295771236
769	0.6283679195
770	0.627163814
771	0.6252524547
772	0.6236891035
773	0.6230194855
774	0.6220789513
775	0.6215832445
776	0.6208833848
777	0.6194951171
778	0.6192296742
779	0.6184231644
780	0.6179033068
781	0.6175023064
782	0.61588957
783	0.6152071178
784	0.6139673026
785	0.6125948573
786	0.611092453
787	0.6104734315
788	0.6093284741
789	0.6085940846
790	0.6075105701
791	0.6062592588
792	0.6056267809
793	0.6040959789
794	0.6027942006
795	0.6021096027
796	0.6014380809
797	0.6007540483
798	0.5992178235
799	0.598408818
800	0.59670218
801	0.5960059105
802	0.5945370985
803	0.5940979745
804	0.5937017747
805	0.5932236346
806	0.5921895696
807	0.59147753
808	0.5908416325
809	0.5900134716
810	0.5891520203
811	0.5886495302
812	0.588173088
813	0.5867072978
814	0.5855903931
815	0.584457835
816	0.5837232904
817	0.5829867505
818	0.5814053221
819	0.580487772
820	0.5800152391
821	0.5786590667
822	0.5780435944
823	0.5777190242
824	0.5774743644
825	0.5766652858
826	0.5760504913
827	0.5744300769
828	0.5737455612
829	0.573012591
830	0.5719825746
831	0.5715021918
832	0.5708834619
833	0.5703806498
834	0.5697797587
835	0.5682928725
836	0.5671359276
837	0.5663198339
838	0.5656694116
839	0.5650654086
840	0.5643485469
841	0.5637645633
842	0.563187332
843	0.5629228683
844	0.5624187921
845	0.561304036
846	0.5604310971
847	0.5600049313
848	0.5597267688
849	0.558675953
850	0.5575970804
851	0.5567597679
852	0.5563424737
853	0.5555994847
854	0.5546667676
855	0.5538360439
856	0.5530664343
857	0.5526223323
858	0.5522413819
859	0.5515127983
860	0.5503642114
861	0.549486674
862	0.549234554
863	0.5488955131
864	0.5487005643
865	0.5480563001
866	0.5474369324
867	0.545732737
868	0.5456301674
869	0.5449001109
870	0.5447009473
871	0.5435260746
872	0.5431568396
873	0.5420344302
874	0.5407034158
875	0.5399215076
876	0.5395208212
877	0.5383298275
878	0.5379415171
879	0.5372395293
880	0.5365261355
881	0.5356697594
882	0.5353072969
883	0.5340541059
884	0.5336222818
885	0.532701386
886	0.5316731997
887	0.5302753043
888	0.5293186612
889	0.5291140613
890	0.5284693875
891	0.5282365256
892	0.5275141218
893	0.526355003
894	0.525567827
895	0.5244934414
896	0.5237006474
897	0.5225351654
898	0.5214553943
899	0.5202814635
900	0.5195096073
901	0.5183443773
902	0.5173171319
903	0.5169225756
904	0.5166339607
905	0.5159278008
906	0.5149993391
907	0.5138018686
908	0.5130216906
909	0.5126059052
910	0.512035006
911	0.5115633947
912	0.5106838935
913	0.5092833766
914	0.5086940071
915	0.508271783
916	0.5073516523
917	0.5068613398
918	0.5059226592
919	0.504932244
920	0.5039854799
921	0.5037869459
922	0.5028847996
923	0.5023519621
924	0.5018146657
925	0.5006047842
926	0.5002946688
927	0.4998421649
928	0.4985195046
929	0.4981621946
930	0.4973131003
931	0.4966266238
932	0.495885895
933	0.4955442559
934	0.495005894
935	0.4948749035
936	0.4943258363
937	0.4940810274
938	0.492918385
939	0.492018273
940	0.4917601408
941	0.491471084
942	0.4904975426
943	0.4893952398
944	0.4888031982
945	0.4883974122
946	0.487307164
947	0.4870534001
948	0.4867269784
949	0.4864615971
950	0.486000459
951	0.4852612411
952	0.4849606849
953	0.4844403966
954	0.4839554296
955	0.4830845945
956	0.4824767701
957	0.4820252722
958	0.4811781053
959	0.4799974516
960	0.4792549628
961	0.4789302068
962	0.4786593465
963	0.4777348658
964	0.476612084
965	0.4761410309
966	0.4752954877
967	0.4743067058
968	0.4739423071
969	0.4733092106
970	0.4726926223
971	0.4721292501
972	0.4716462197
973	0.4711287239
974	0.47062999
975	0.4700046357
976	0.4695553208
977	0.4682321176
978	0.4676409915
979	0.4670675145
980	0.4663671961
981	0.4655950629
982	0.465003151
983	0.4642963038
984	0.4631999443
985	0.4628183753
986	0.4622479768
987	0.4610788322
988	0.4606402223
989	0.4602008806
990	0.4593100495
991	0.4589072586
992	0.4581838717
993	0.4578601639
994	0.45713102
995	0.4567779649
996	0.4566071277
997	0.4561153837
998	0.4550662234
999	0.4545270998
